"Player","Source","Target","Weight"
"Lewis Cook","Leeds United","AFC Bournemouth","7000000"
"Lys Mousset","AC Le Havre","AFC Bournemouth","6500000"
"Aaron Ramsdale","Sheffield United","AFC Bournemouth","940000"
"Matt Ritchie","AFC Bournemouth","Newcastle United","12000000"
"Tommy Elphick","AFC Bournemouth","Aston Villa","3900000"
"Lee Tomlin","AFC Bournemouth","Bristol City","3500000"
"Glenn Murray","AFC Bournemouth","Brighton & Hove Albion","3500000"
"Tokelo Rantie","AFC Bournemouth","Genclerbirligi Ankara","1800000"
"Eunan O'Kane","AFC Bournemouth","Leeds United","500000"
"Shaun MacDonald","AFC Bournemouth","Wigan Athletic","290000"
"Didier Ndong","FC Lorient","Sunderland AFC","20000000"
"Mika","Boavista Porto FC","Sunderland AFC","1500000"
"Sebastián Coates","Sunderland AFC","Sporting CP","4720000"
"Emanuele Giaccherini","Sunderland AFC","SSC Napoli","1500000"
"Liam Bridcutt","Sunderland AFC","Leeds United","1150000"
"Santiago Vergini","Sunderland AFC","Club Atlético Boca Juniors","900000"
"Robbie Brady","Norwich City","Burnley FC","15100000"
"Jeff Hendrick","Derby County","Burnley FC","11800000"
"Steven Defour","RSC Anderlecht","Burnley FC","8600000"
"Ashley Westwood","Aston Villa","Burnley FC","5800000"
"Johann Berg Gudmundsson","Charlton Athletic","Burnley FC","3000000"
"Nick Pope","Charlton Athletic","Burnley FC","1300000"
"Lukas Jutkiewicz","Burnley FC","Birmingham City","1200000"
"Marten de Roon","Atalanta BC","Middlesbrough FC","10500000"
"Adama Traoré","Aston Villa","Middlesbrough FC","8250000"
"Rudy Gestede","Aston Villa","Middlesbrough FC","7100000"
"Viktor Fischer","Ajax Amsterdam","Middlesbrough FC","5000000"
"Antonio Barragán","Valencia CF","Middlesbrough FC","2700000"
"Fábio","Cardiff City","Middlesbrough FC","2300000"
"Adam Reach","Middlesbrough FC","Sheffield Wednesday","5900000"
"Albert Adomah","Middlesbrough FC","Aston Villa","3500000"
"David Nugent","Middlesbrough FC","Derby County","2900000"
"Emilio Nsue","Middlesbrough FC","Birmingham City","1200000"
"Kamil Grosicki","Stade Rennais FC","Hull City","9000000"
"Markus Henriksen","AZ Alkmaar","Hull City","5300000"
"David Marshall","Cardiff City","Hull City","4100000"
"Evandro","FC Porto","Hull City","2500000"
"Mohamed Diamé","Hull City","Newcastle United","5400000"
"André Gomes","Valencia CF","FC Barcelona","37000000"
"Paco Alcácer","Valencia CF","FC Barcelona","30000000"
"Samuel Umtiti","Olympique Lyon","FC Barcelona","25000000"
"Lucas Digne","Paris Saint-Germain","FC Barcelona","16500000"
"Jasper Cillessen","Ajax Amsterdam","FC Barcelona","13000000"
"Denis Suárez","Villarreal CF","FC Barcelona","3250000"
"Adriano","FC Barcelona","Besiktas JK","2300000"
"Álvaro Morata","Juventus FC","Real Madrid","30000000"
"Jesé","Real Madrid","Paris Saint-Germain","25000000"
"Denis Cheryshev","Real Madrid","Villarreal CF","7000000"
"Álvaro Medrán","Real Madrid","Valencia CF","1500000"
"Kévin Gameiro","Sevilla FC","Atlético Madrid","30000000"
"Nico Gaitán","SL Benfica","Atlético Madrid","25000000"
"Sime Vrsaljko","US Sassuolo","Atlético Madrid","16000000"
"Diogo Jota","FC Paços de Ferreira","Atlético Madrid","7200000"
"Axel Werner","Atlético de Rafaela","Atlético Madrid","800000"
"Miranda","Atlético Madrid","Inter Milan","9000000"
"Leo Baptistão","Atlético Madrid","RCD Espanyol Barcelona","7000000"
"Roberto Soriano","UC Sampdoria","Villarreal CF","13750000"
"Nicola Sansone","US Sassuolo","Villarreal CF","13000000"
"Alfred N'Diaye","Real Betis Balompié","Villarreal CF","8000000"
"Cristian Espinoza","Club Atlético Huracán","Villarreal CF","7200000"
"Álvaro González","RCD Espanyol Barcelona","Villarreal CF","4000000"
"Alexandre Pato","Sport Club Corinthians Paulista","Villarreal CF","3000000"
"Alexandre Pato","Villarreal CF","Tianjin Quanjian","18000000"
"Samu García","Villarreal CF","Rubin Kazan","5000000"
"Tomás Pina","Villarreal CF","Club Brugge KV","3000000"
"Antonio Sanabria","AS Roma","Real Betis Balompié","7500000"
"Felipe Gutiérrez","FC Twente Enschede","Real Betis Balompié","3500000"
"Aïssa Mandi","Stade Reims","Real Betis Balompié","2800000"
"Jonas Martin","HSC Montpellier","Real Betis Balompié","2600000"
"Riza Durmisi","Bröndby IF","Real Betis Balompié","2000000"
"Darko Brasanac","FK Partizan Belgrade","Real Betis Balompié","1500000"
"Alin Tosca","Steaua Bukarest","Real Betis Balompié","1000000"
"Joaquín Correa","UC Sampdoria","Sevilla FC","18200000"
"Franco Vázquez","US Palermo","Sevilla FC","16800000"
"Ganso","São Paulo Futebol Clube","Sevilla FC","9500000"
"Wissam Ben Yedder","FC Toulouse","Sevilla FC","9500000"
"Hiroshi Kiyotake","Hannover 96","Sevilla FC","6500000"
"Walter Montoya","Club Atlético Rosario Central","Sevilla FC","5500000"
"Clément Lenglet","AS Nancy-Lorraine","Sevilla FC","5400000"
"Gabriel Mercado","Club Atlético River Plate","Sevilla FC","2500000"
"Pablo Sarabia","Getafe CF","Sevilla FC","1000000"
"Grzegorz Krychowiak","Sevilla FC","Paris Saint-Germain","27500000"
"Ciro Immobile","Sevilla FC","SS Lazio","9450000"
"Hiroshi Kiyotake","Sevilla FC","Cerezo Osaka","5100000"
"Diogo Figueiras","Sevilla FC","Olympiacos Piraeus","1500000"
"Daniel Torres","Independiente Medellín","Deportivo Alavés","3180000"
"Aleksandar Katai","Red Star Belgrade","Deportivo Alavés","2000000"
"Alexis","Besiktas JK","Deportivo Alavés","400000"
"Mamadou Koné","Racing Santander","CD Leganés","1200000"
"Gabriel","Juventus FC","CD Leganés","1000000"
"Diego Rico","Real Zaragoza","CD Leganés","1000000"
"Erik Morán","Real Zaragoza","CD Leganés","200000"
"David López","SSC Napoli","RCD Espanyol Barcelona","4000000"
"Roberto","Olympiacos Piraeus","RCD Espanyol Barcelona","3000000"
"Álvaro Vázquez","Getafe CF","RCD Espanyol Barcelona","2000000"
"Javi Fuego","Valencia CF","RCD Espanyol Barcelona","1000000"
"Anaitz Arbilla","RCD Espanyol Barcelona","SD Eibar","700000"
"José Angulo","Independiente del Valle","Granada CF","4030000"
"Mehdi Carcela-González","SL Benfica","Granada CF","4000000"
"Sverrir Ingi Ingason","KSC Lokeren","Granada CF","1800000"
"Rui Silva","CD Nacional","Granada CF","1000000"
"Omer Atzili","Beitar Jerusalem","Granada CF","750000"
"Rubén Rochina","Granada CF","Rubin Kazan","10000000"
"Nano","CD Tenerife","SD Eibar","3200000"
"Bebé","SL Benfica","SD Eibar","1500000"
"Keko","SD Eibar","Málaga CF","5000000"
"Pione Sisto","FC Midtjylland","Celta de Vigo","6000000"
"Andrew Hjulsager","Bröndby IF","Celta de Vigo","1200000"
"José Naranjo","Gimnàstic de Tarragona","Celta de Vigo","1000000"
"Álvaro Lemos","CD Lugo","Celta de Vigo","200000"
"José Naranjo","Celta de Vigo","KRC Genk","1800000"
"Fernando Amorebieta","Fulham FC","Sporting Gijón","300000"
"Diego Mariño","Levante UD","Sporting Gijón","200000"
"Florin Andone","Córdoba CF","Deportivo de La Coruña","5000000"
"Raúl Albentosa","Derby County","Deportivo de La Coruña","800000"
"Przemyslaw Tyton","VfB Stuttgart","Deportivo de La Coruña","500000"
"Willian José","Club Deportivo Maldonado","Real Sociedad","6000000"
"Jonathas","Real Sociedad","Rubin Kazan","7000000"
"Michael Santos","Atletico River Plate Montevideo","Málaga CF","4000000"
"Bakary Koné","Olympique Lyon","Málaga CF","800000"
"Mikel Villanueva","Deportivo Lara","Málaga CF","300000"
"Ezequiel Garay","Zenit St. Petersburg","Valencia CF","24000000"
"Nani","Fenerbahce SK","Valencia CF","8500000"
"Rodrigo de Paul","Valencia CF","Udinese Calcio","3000000"
"Mauricio Lemos","Rubin Kazan","UD Las Palmas","2000000"
"Mateo García","Instituto AC Córdoba","UD Las Palmas","400000"
"Sergio León","Elche CF","CA Osasuna","1700000"
"Fran Mérida","SD Huesca","CA Osasuna","500000"
"Gonçalo Guedes","SL Benfica","Paris Saint-Germain","30000000"
"Giovani Lo Celso","Club Atlético Rosario Central","Paris Saint-Germain","10000000"
"Thomas Meunier","Club Brugge KV","Paris Saint-Germain","6000000"
"Hervin Ongenda","Paris Saint-Germain","PEC Zwolle","300000"
"Emanuel Mammana","Club Atlético River Plate","Olympique Lyon","8500000"
"Jean-Philippe Mateta","LB Châteauroux","Olympique Lyon","4100000"
"Lindsay Rose","Olympique Lyon","FC Lorient","1500000"
"Djibril Sidibé","LOSC Lille","AS Monaco","15000000"
"Benjamin Mendy","Olympique Marseille","AS Monaco","13000000"
"Kamil Glik","Torino FC","AS Monaco","11000000"
"Jorge","Clube de Regatas do Flamengo","AS Monaco","8500000"
"Youssef Aït Bennasser","AS Nancy-Lorraine","AS Monaco","3000000"
"Ivan Cavaleiro","AS Monaco","Wolverhampton Wanderers","8000000"
"Farès Bahlouli","AS Monaco","LOSC Lille","3500000"
"Delvin N'Dinga","AS Monaco","Lokomotiv Moscow","2500000"
"Jessy Pi","AS Monaco","FC Toulouse","700000"
"Wylan Cyprien","RC Lens","OGC Nice","5000000"
"Arnaud Lusamba","AS Nancy-Lorraine","OGC Nice","2500000"
"Dalbert","Vitória Guimarães SC","OGC Nice","2000000"
"Bassem Srarfi","Club Africain Tunis","OGC Nice","1500000"
"Arnaud Souquet","FCO Dijon","OGC Nice","1250000"
"Paul Baysse","AS Saint-Étienne","OGC Nice","500000"
"Niklas Hult","OGC Nice","Panathinaikos Athens","300000"
"Anwar El Ghazi","Ajax Amsterdam","LOSC Lille","7000000"
"Gabriel Magalhães","Avaí Futebol Clube (SC)","LOSC Lille","3000000"
"Júnior Alonso","Club Cerro Porteño","LOSC Lille","2500000"
"Benjamin Pavard","LOSC Lille","VfB Stuttgart","5000000"
"Younousse Sankharé","LOSC Lille","FC Girondins Bordeaux","3000000"
"Ronny Rodelin","LOSC Lille","SM Caen","1000000"
"Michael Frey","LOSC Lille","BSC Young Boys","500000"
"Bryan Dabo","HSC Montpellier","AS Saint-Étienne","4000000"
"Léo Lacroix","FC Sion","AS Saint-Étienne","3000000"
"Moustapha Sall","AS Saint-Étienne","Al Arabi Sports Club","1000000"
"Ismaël Diomandé","AS Saint-Étienne","SM Caen","750000"
"Ivan Santini","Standard Liège","SM Caen","2500000"
"Andy Delort","SM Caen","Tigres UANL","8000000"
"Dennis Appiah","SM Caen","RSC Anderlecht","3000000"
"Ramy Bensebaini","Paradou AC","Stade Rennais FC","2000000"
"Afonso Figueiredo","Boavista Porto FC","Stade Rennais FC","270000"
"Pedro Henrique","Stade Rennais FC","PAOK Thessaloniki","1600000"
"Ola Toivonen","Stade Rennais FC","FC Toulouse","1500000"
"Steven Moreira","Stade Rennais FC","FC Lorient","1200000"
"Philipp Hosiner","Stade Rennais FC","1.FC Union Berlin","500000"
"Famara Diédhiou","Clermont Foot Auvergne 63","SCO Angers","1600000"
"Mathieu Michel","Nîmes Olympique","SCO Angers","1000000"
"Karl Toko Ekambi","FC Sochaux-Montbéliard","SCO Angers","1000000"
"Jamel Saihi","HSC Montpellier","SCO Angers","800000"
"Baptiste Santamaría","Tours FC","SCO Angers","500000"
"Flavien Tait","LB Châteauroux","SCO Angers","300000"
"Romain Saïss","SCO Angers","Wolverhampton Wanderers","4000000"
"Arnold Bouka Moutou","SCO Angers","FCO Dijon","400000"
"Farid Boulaya","Clermont Foot Auvergne 63","SC Bastia","250000"
"François Kamano","SC Bastia","FC Girondins Bordeaux","2500000"
"Floyd Ayité","SC Bastia","Fulham FC","2000000"
"Mathieu Peybernes","SC Bastia","FC Lorient","2000000"
"Thievy Bifouma","SC Bastia","Osmanlispor FK","500000"
"Paul Bernardoni","ES Troyes AC","FC Girondins Bordeaux","2500000"
"Igor Lewczuk","Legia Warszawa","FC Girondins Bordeaux","1000000"
"Grégory Sertic","FC Girondins Bordeaux","Olympique Marseille","1500000"
"André Poko","FC Girondins Bordeaux","Kardemir Karabükspor","400000"
"Isaac Mbenza","Standard Liège","HSC Montpellier","1700000"
"Keagan Dolly","Mamelodi Sundowns FC","HSC Montpellier","1700000"
"Nordi Mukiele","Stade Laval","HSC Montpellier","1500000"
"Lukáš Pokorný","FC Slovan Liberec","HSC Montpellier","1500000"
"Morgan Sanson","HSC Montpellier","Olympique Marseille","9000000"
"Rémy Cabella","Newcastle United","Olympique Marseille","8000000"
"Tomas Hubocan","Dinamo Moscow","Olympique Marseille","1200000"
"Saîf-Eddine Khaoui","Tours FC","Olympique Marseille","1000000"
"Mario Lemina","Olympique Marseille","Juventus FC","9800000"
"Romain Alessandrini","Olympique Marseille","Los Angeles Galaxy","3000000"
"Abdelaziz Barrada","Olympique Marseille","Al-Nasr (Dubai)","2000000"
"Saber Khalifa","Olympique Marseille","Club Africain Tunis","1000000"
"Mariusz Stepinski","Ruch Chorzow","FC Nantes","2000000"
"Diego Carlos","GD Estoril Praia","FC Nantes","1300000"
"Lucas Lima","FC Arouca","FC Nantes","1100000"
"Nicolaj Thomsen","Aalborg BK","FC Nantes","600000"
"Alejandro Bedoya","FC Nantes","Philadelphia Union","895000"
"Birama Touré","FC Nantes","Standard Liège","550000"
"Nicolaj Thomsen","FC Nantes","FC Copenhagen","500000"
"Cafú","Vitória Guimarães SC","FC Lorient","2000000"
"Alhassan Wakaso","Rio Ave FC","FC Lorient","1000000"
"Faïz Selemani","FC Chamois Niort","FC Lorient","900000"
"Moryké Fofana","FC Lorient","Konyaspor","150000"
"Andy Delort","Tigres UANL","FC Toulouse","6000000"
"Jimmy Durmaz","Olympiacos Piraeus","FC Toulouse","2000000"
"Jean-Armel Kana-Biyik","FC Toulouse","Kayserispor","500000"
"Vincent Marchetti","AC Ajaccio","AS Nancy-Lorraine","1500000"
"Sergey Chernik","BATE Borisov","AS Nancy-Lorraine","500000"
"Ádám Lang","Videoton FC","FCO Dijon","1000000"
"Mehdi Abeid","Panathinaikos Athens","FCO Dijon","250000"
"Ferjani Sassi","FC Metz","Esperance Tunis","775000"
"Theo Hernández","Atlético Madrid","Real Madrid","24000000"
"Dani Ceballos","Real Betis Balompié","Real Madrid","16500000"
"Álvaro Morata","Real Madrid","Chelsea FC","66000000"
"Danilo","Real Madrid","Manchester City","30000000"
"Mariano Díaz","Real Madrid","Olympique Lyon","8000000"
"Diego Llorente","Real Madrid","Real Sociedad","7000000"
"Burgui","Real Madrid","Deportivo Alavés","3000000"
"Philippe Coutinho","Liverpool FC","FC Barcelona","130000000"
"Paulinho","Guangzhou Evergrande Taobao","FC Barcelona","40000000"
"Nélson Semedo","SL Benfica","FC Barcelona","30570000"
"Gerard Deulofeu","Everton FC","FC Barcelona","12000000"
"Yerry Mina","Sociedade Esportiva Palmeiras","FC Barcelona","11800000"
"Marlon","Fluminense Football Club","FC Barcelona","5000000"
"Neymar","FC Barcelona","Paris Saint-Germain","222000000"
"Javier Mascherano","FC Barcelona","Hebei China Fortune","5500000"
"Cristian Tello","FC Barcelona","Real Betis Balompié","4000000"
"Diego Costa","Chelsea FC","Atlético Madrid","66000000"
"Vitolo","Sevilla FC","Atlético Madrid","36000000"
"Yannick Carrasco","Atlético Madrid","Dalian Yifang","30000000"
"Óliver Torres","Atlético Madrid","FC Porto","20000000"
"Matías Kranevitter","Atlético Madrid","Zenit St. Petersburg","8000000"
"Nico Gaitán","Atlético Madrid","Dalian Yifang","5750000"
"Javier Manquillo","Atlético Madrid","Newcastle United","5000000"
"Augusto Fernández","Atlético Madrid","Beijing Renhe","4500000"
"Amath Ndiaye","Atlético Madrid","Getafe CF","3000000"
"Rafael Borré","Atlético Madrid","Club Atlético River Plate","3000000"
"Luis Muriel","UC Sampdoria","Sevilla FC","21500000"
"Simon Kjær","Fenerbahce SK","Sevilla FC","12500000"
"Guilherme Arana","Sport Club Corinthians Paulista","Sevilla FC","11000000"
"Guido Pizarro","Tigres UANL","Sevilla FC","8700000"
"Nolito","Manchester City","Sevilla FC","7000000"
"Éver Banega","Inter Milan","Sevilla FC","7000000"
"Sébastien Corchia","LOSC Lille","Sevilla FC","5000000"
"Vicente Iborra","Sevilla FC","Leicester City","15000000"
"Adil Rami","Sevilla FC","Olympique Marseille","6000000"
"Walter Montoya","Sevilla FC","CD Cruz Azul","5500000"
"Mariano","Sevilla FC","Galatasaray SK","4250000"
"Sebastián Cristóforo","Sevilla FC","ACF Fiorentina","2500000"
"Enes Ünal","Manchester City","Villarreal CF","14000000"
"Rúben Semedo","Sporting CP","Villarreal CF","14000000"
"Pablo Fornals","Málaga CF","Villarreal CF","12000000"
"Andrés Fernández","FC Porto","Villarreal CF","2000000"
"Javi Fuego","RCD Espanyol Barcelona","Villarreal CF","1500000"
"Cédric Bakambu","Villarreal CF","Beijing Sinobo Guoan","40000000"
"Mateo Musacchio","Villarreal CF","AC Milan","18000000"
"Roberto Soldado","Villarreal CF","Fenerbahce SK","5000000"
"Jonathan dos Santos","Villarreal CF","Los Angeles Galaxy","4300000"
"Adnan Januzaj","Manchester United","Real Sociedad","8500000"
"Héctor Moreno","AS Roma","Real Sociedad","6000000"
"Iñigo Martínez","Real Sociedad","Athletic Bilbao","32000000"
"Yuri Berchiche","Real Sociedad","Paris Saint-Germain","16000000"
"Carlos Vela","Real Sociedad","Los Angeles FC","5000000"
"Aymeric Laporte","Athletic Bilbao","Manchester City","65000000"
"Naldo","FK Krasnodar","RCD Espanyol Barcelona","2500000"
"Pablo Piatti","Valencia CF","RCD Espanyol Barcelona","1300000"
"Mario Hermoso","Real Madrid Castilla","RCD Espanyol Barcelona","400000"
"Dídac Vilà","AEK Athens","RCD Espanyol Barcelona","250000"
"Felipe Caicedo","RCD Espanyol Barcelona","SS Lazio","2500000"
"Mamadou Sylla","RCD Espanyol Barcelona","KAS Eupen","2300000"
"Joan Jordán","RCD Espanyol Barcelona","SD Eibar","1000000"
"Rubén Duarte","RCD Espanyol Barcelona","Deportivo Alavés","400000"
"Rodrigo Ely","AC Milan","Deportivo Alavés","3000000"
"Rubén Sobrino","Manchester City","Deportivo Alavés","2000000"
"Antonio Sivera","Valencia Mestalla","Deportivo Alavés","2000000"
"Guillermo Maripán","CD Universidad Católica","Deportivo Alavés","1070000"
"Edgar Méndez","Deportivo Alavés","CD Cruz Azul","5000000"
"Zouhair Feddal","Deportivo Alavés","Real Betis Balompié","2500000"
"Paulo Oliveira","Sporting CP","SD Eibar","3500000"
"Marko Dmitrovic","AD Alcorcón","SD Eibar","1000000"
"Yoel Rodríguez","Valencia CF","SD Eibar","750000"
"Iván Alejo","AD Alcorcón","SD Eibar","300000"
"Florian Lejeune","SD Eibar","Newcastle United","10000000"
"Emanuel Cecchini","Club Atlético Banfield","Málaga CF","4600000"
"Esteban Rolón","Asociación Atlética Argentinos Juniors","Málaga CF","3200000"
"Diego González","Sevilla Atlético","Málaga CF","2000000"
"Ignasi Miquel","CD Lugo","Málaga CF","500000"
"Cenk Gönen","Galatasaray SK","Málaga CF","200000"
"Sandro Ramírez","Málaga CF","Everton FC","6000000"
"Paul Baysse","Málaga CF","FC Girondins Bordeaux","1000000"
"Simone Zaza","Juventus FC","Valencia CF","16000000"
"Francis Coquelin","Arsenal FC","Valencia CF","14000000"
"Gabriel Paulista","Arsenal FC","Valencia CF","11000000"
"Neto","Juventus FC","Valencia CF","6000000"
"Fabián Orellana","Celta de Vigo","Valencia CF","3000000"
"Mathew Ryan","Valencia CF","Brighton & Hove Albion","6000000"
"Enzo Pérez","Valencia CF","Club Atlético River Plate","2500000"
"Álvaro Negredo","Valencia CF","Besiktas JK","2500000"
"Diego Alves","Valencia CF","Clube de Regatas do Flamengo","300000"
"Stanislav Lobotka","FC Nordsjaelland","Celta de Vigo","5000000"
"Maximiliano Gómez","Defensor Sporting Club","Celta de Vigo","4000000"
"Jozabed Sánchez","Fulham FC","Celta de Vigo","3500000"
"Robert Mazan","MSK Zilina","Celta de Vigo","300000"
"Pape Cheikh","Celta de Vigo","Olympique Lyon","10000000"
"Roque Mesa","UD Las Palmas","Swansea City","12500000"
"Jonathan Viera","UD Las Palmas","Beijing Sinobo Guoan","11000000"
"Ryad Boudebouz","HSC Montpellier","Real Betis Balompié","7000000"
"Víctor Camarasa","Levante UD","Real Betis Balompié","7000000"
"Sergio León","CA Osasuna","Real Betis Balompié","3500000"
"Andrés Guardado","PSV Eindhoven","Real Betis Balompié","2500000"
"Javi García","Zenit St. Petersburg","Real Betis Balompié","1500000"
"Cristiano Piccini","Real Betis Balompié","Sporting CP","2870000"
"Petros","Real Betis Balompié","São Paulo Futebol Clube","2500000"
"Francisco Portillo","Real Betis Balompié","Getafe CF","1500000"
"Jonas Martin","Real Betis Balompié","RC Strasbourg Alsace","1500000"
"Dani Pacheco","Real Betis Balompié","Getafe CF","1000000"
"Bruno González","Real Betis Balompié","Getafe CF","600000"
"Guilherme","Udinese Calcio","Deportivo de La Coruña","4500000"
"Juanfran","Watford FC","Deportivo de La Coruña","1000000"
"Gerard Valentín","Gimnàstic de Tarragona","Deportivo de La Coruña","1000000"
"Alejandro Arribas","Deportivo de La Coruña","UNAM Pumas","2000000"
"Dimitrios Siovas","Olympiacos Piraeus","CD Leganés","3000000"
"Ezequiel Muñoz","Genoa CFC","CD Leganés","2500000"
"Tito","Granada CF","CD Leganés","600000"
"Erik Morán","CD Leganés","AEK Athens","130000"
"Emmanuel Boateng","Moreirense FC","Levante UD","2000000"
"Cheick Doukouré","FC Metz","Levante UD","1600000"
"Enis Bardhi","Újpest FC","Levante UD","1500000"
"Ivi","Sevilla Atlético","Levante UD","1200000"
"Armando Sadiku","Legia Warszawa","Levante UD","1000000"
"Oier Olazábal","Granada CF","Levante UD","200000"
"Deyverson","Levante UD","Sociedade Esportiva Palmeiras","5200000"
"Mitchell Langerak","Levante UD","Nagoya Grampus","1450000"
"Natxo Insa","Levante UD","Johor Darul Ta'zim FC","400000"
"Bernardo Espinosa","Middlesbrough FC","Girona FC","4500000"
"Cristhian Stuani","Middlesbrough FC","Girona FC","2500000"
"Djené","Sint-Truidense VV","Getafe CF","2500000"
"Filip Manojlovic","Red Star Belgrade","Getafe CF","1250000"
"Álvaro Jiménez","Real Madrid Castilla","Getafe CF","1000000"
"Mathí­as Olivera","Club Nacional","Getafe CF","850000"
"Chuli","UD Almería","Getafe CF","700000"
"Juan Cala","Getafe CF","Henan Jianye","1600000"
"Moussa Konaté","FC Sion","SC Amiens","3500000"
"Bongani Zungu","Vitória Guimarães SC","SC Amiens","2000000"
"Stiven Mendoza","Sport Club Corinthians Paulista","SC Amiens","1000000"
"Aboubakar Kamara","SC Amiens","Fulham FC","6000000"
"Enzo Crivelli","FC Girondins Bordeaux","SCO Angers","4000000"
"Thomas Touré","FC Girondins Bordeaux","SCO Angers","3000000"
"Lassana Coulibaly","SC Bastia","SCO Angers","2000000"
"Baptiste Guillaume","LOSC Lille","SCO Angers","2000000"
"Angelo Fulgini","Valenciennes FC ","SCO Angers","1400000"
"Nicolas Pépé","SCO Angers","LOSC Lille","10000000"
"Famara Diédhiou","SCO Angers","Bristol City","6000000"
"Yoane Wissa","SCO Angers","FC Lorient","2000000"
"Nicolas de Préville","LOSC Lille","FC Girondins Bordeaux","8000000"
"Jonathan Cafú","PFK Ludogorets Razgrad","FC Girondins Bordeaux","7500000"
"Otávio","Atlético Paranaense","FC Girondins Bordeaux","5000000"
"Youssouf Sabaly","Paris Saint-Germain","FC Girondins Bordeaux","4000000"
"Lukas Lerager","SV Zulte Waregem","FC Girondins Bordeaux","3500000"
"Vukasin Jovanovic","Zenit St. Petersburg","FC Girondins Bordeaux","3000000"
"Alexandre Mendy","EA Guingamp","FC Girondins Bordeaux","600000"
"Adam Ounas","FC Girondins Bordeaux","SSC Napoli","10000000"
"Isaac Kiese Thelin","FC Girondins Bordeaux","RSC Anderlecht","2750000"
"Nicolas Pallois","FC Girondins Bordeaux","FC Nantes","2000000"
"Frédéric Guilbert","FC Girondins Bordeaux","SM Caen","1500000"
"Jérémy Ménez","FC Girondins Bordeaux","Antalyaspor","1500000"
"Mauro Arambarri","FC Girondins Bordeaux","Club Atlético Boston River","1000000"
"Cédric Yambéré","FC Girondins Bordeaux","FCO Dijon","500000"
"Alexander Djiku","SC Bastia","SM Caen","2000000"
"Stef Peeters","Sint-Truidense VV","SM Caen","1350000"
"Jan Repas","NK Domzale","SM Caen","1000000"
"Timo Stavitski","Rovaniemen Palloseura","SM Caen","600000"
"Baissama Sankoh","EA Guingamp","SM Caen","500000"
"Jean-Victor Makengo","SM Caen","OGC Nice","6000000"
"Wesley Lautoa","FC Lorient","FCO Dijon","1500000"
"Wesley Saïd","Stade Rennais FC","FCO Dijon","1500000"
"Loïs Diony","FCO Dijon","AS Saint-Étienne","10000000"
"Pierre Lees Melou","FCO Dijon","OGC Nice","4000000"
"Mamadou Thiam","FCO Dijon","Barnsley FC","1000000"
"Marcus Thuram","FC Sochaux-Montbéliard","EA Guingamp","600000"
"Pedro Rebocho","SL Benfica","EA Guingamp","550000"
"Lebogang Phiri","Bröndby IF","EA Guingamp","225000"
"Nill De Pauw","EA Guingamp","SV Zulte Waregem","350000"
"Thiago Maia","Santos FC","LOSC Lille","14000000"
"Luiz Araújo","São Paulo Futebol Clube","LOSC Lille","10500000"
"Kévin Malcuit","AS Saint-Étienne","LOSC Lille","9000000"
"Thiago Mendes","São Paulo Futebol Clube","LOSC Lille","9000000"
"Xeka","SC Braga","LOSC Lille","5000000"
"Edgar Ié","Os Belenenses SAD","LOSC Lille","3500000"
"Naïm Sliti","Red Star FC","LOSC Lille","2000000"
"Adam Jakubech","Spartak Trnava","LOSC Lille","1000000"
"Martin Terrier","LOSC Lille","Olympique Lyon","11000000"
"Soualiho Meïté","LOSC Lille","SV Zulte Waregem","5100000"
"Bertrand Traoré","Chelsea FC","Olympique Lyon","10000000"
"Marcelo","Besiktas JK","Olympique Lyon","7000000"
"Ferland Mendy","AC Le Havre","Olympique Lyon","5000000"
"Marçal","SL Benfica","Olympique Lyon","4500000"
"Kenny Tete","Ajax Amsterdam","Olympique Lyon","4000000"
"Alexandre Lacazette","Olympique Lyon","Arsenal FC","53000000"
"Emanuel Mammana","Olympique Lyon","Zenit St. Petersburg","16000000"
"Maxime Gonalons","Olympique Lyon","AS Roma","5000000"
"Maciej Rybus","Olympique Lyon","Lokomotiv Moscow","1750000"
"Mathieu Valbuena","Olympique Lyon","Fenerbahce SK","1500000"
"Konstantinos Mitroglou","SL Benfica","Olympique Marseille","15000000"
"Florian Thauvin","Newcastle United","Olympique Marseille","11000000"
"Valère Germain","AS Monaco","Olympique Marseille","8000000"
"Clinton N'Jie","Tottenham Hotspur","Olympique Marseille","7000000"
"Steve Mandanda","Crystal Palace","Olympique Marseille","3000000"
"Philipp Wollscheid","Stoke City","FC Metz","2500000"
"Ismaïla Sarr","FC Metz","Stade Rennais FC","17000000"
"Georges Mandjeck","FC Metz","AC Sparta Praha","1300000"
"Keita Baldé","SS Lazio","AS Monaco","30000000"
"Youri Tielemans","RSC Anderlecht","AS Monaco","25000000"
"Pietro Pellegri","Genoa CFC","AS Monaco","21000000"
"Terence Kongolo","Feyenoord Rotterdam","AS Monaco","15000000"
"Stevan Jovetic","Inter Milan","AS Monaco","11000000"
"Adama Diakhaby","Stade Rennais FC","AS Monaco","10000000"
"Soualiho Meïté","SV Zulte Waregem","AS Monaco","8000000"
"Benjamin Mendy","AS Monaco","Manchester City","57500000"
"Bernardo Silva","AS Monaco","Manchester City","50000000"
"Tiemoué Bakayoko","AS Monaco","Chelsea FC","40000000"
"Guido Carrillo","AS Monaco","Southampton FC","22000000"
"Allan Saint-Maximin","AS Monaco","OGC Nice","10000000"
